ID,speaker,portrait,Text
1,소제목,,~레바테인~
2,클레아,10002,적 기체 전멸.
3,클레아,10002,더 확인되는 적은 없는 것 같아.
4,레이나,10001,이제 거의 끝난 것 같은데?
5,루나,10003,클레아까지 나설 필요는 없겠습니다.
6,레이나,10001,어때? 데이터는 충분해?
7,클레아,10002,응. 이 정도면 ‘커맨드AI’의 위치를 특정할 수 있겠어!
8,클레아,10002,다들 수고했어.
9,???,,도와주세요!
10,레이나,10001,잠시만! 어디서.. 도와달라는 소리가..
11,레이나,10001,잠시만요! 제가 구해 드릴게요!
12,,,레이나는 ‘이카로스 기어’를 잠시 멈추고 소리가 나는 곳으로 천천히 접근했다.
13,로봇,,도와주세요!
14,레이나,10001,이게 무슨…
15,로봇,,자폭 시스템 활성화.
16,클레아,10001,레이나!
17,레이나,10001,‘충격 때문에 제피로스 브룸이…’
18,레이나,10001,‘빨리.. 중심을 잡아야..’
19,,,"레이나의 ‘이카로스 기어’는 푸른빛이 아닌 매캐한 회색 연기와 함께
중심을 잡지 못하고 추락하기 시작했다."
20,레이나,10001,‘제발.. 좀..’
21,,,레이나는 필사적으로 다시 ‘이카로스 기어’에 올라타려고 노력했다.
22,루나,10003,레이나!
23,클레아,10002,루나!  후방에 적 기체 다수 확인..
24,클레아,10002,루나.. 그대로 레이나를 구해! 지금 바로 출격할게.
25,루나,10003,조금만 더…
26,클레아,10002,제발.. 하느님..
27,,,레이나의 손을 겨우 잡은 루나는 위를 올려다보았다.
28,,,루나와 레이나의 위로 태양빛에 흐릿하지만 2명의 실루엣이 보였다.
29,,,"호버 보드 모양의 ‘이카로스 기어’에 올라탄 녹색머리의 소녀,
그리고 묵직해 보이는 ‘파워드 슈트’를 입은 헝클어진 머리의 소녀가 보였다."
30,???,10005,괜찮아?
31,루나,10003,당신들은..
32,???,10004,그래 쨔식들아! ‘배틀 위치스’ 너희들의 라이벌이..
33,루나,10003,누구였죠?
34,???,10004,뭐뭣!
35,???,10004,젠장! ‘레바테인’라고!
36,루나,10003,아 그랬죠?
37,레이나,10001,‘레바테인’의 헬.. 그리고… 누구…
38,펜리르,10004,‘레바테인’의 화력 담당 펜리르 님이라고!!
39,,,루나와 레이나는 서로 바라보다 다시 펜리르를 바라보았다.
40,레이나,10001,아.. 그런 사람 있었지 맞아.. 음음
41,루나,10003,아 기억납니다.. 그.. 음..
42,펜리르,10004,이 자식들.. 그냥 죽게 내버려둘걸.
43,헬,10005,우리 한가롭게 티타임 가질 여유는 없을 것 같은데?
44,,,헬이 웃으며 가리킨 곳을 보자 폭발로 만들어진 불과 연기 속에서 로봇들이 빠져나오고 있었다.
45,클레아,10002,제가 도착하자마자 레이나의 ‘이카루스 기어’를 수리할게요.
46,클레아,10002,그때까지 부탁드릴게요.
47,펜리르,10004,그래. 근데 니가 와서 빗자루 수리하기 전에 우리가 싹 쓸어버릴 것 같은데?